rs,lr,sr,alpha,aggregate,acc_train,kappa_train,acc_eval,kappa_eval,f1_weighted
500,0.3,1.5,10000.0,final,0.4722222222222222,0.2962962962962963,0.4618055555555556,0.28240740740740744,0.39201585186191235
500,0.3,1.5,10000.0,mean,0.6111111111111112,0.4814814814814815,0.6006944444444444,0.46759259259259256,0.5375179717404893
500,0.3,1.5,10000.0,concat,0.5798611111111112,0.43981481481481477,0.5868055555555556,0.44907407407407407,0.5218330007054525
500,0.3,2.0,1.0,final,0.9965277777777778,0.9953703703703703,0.3923611111111111,0.18981481481481477,0.39019047725929146
500,0.3,2.0,1.0,mean,0.8611111111111112,0.8148148148148149,0.6076388888888888,0.47685185185185186,0.5778106688615957
500,0.3,2.0,1.0,concat,1.0,1.0,0.5590277777777778,0.4120370370370371,0.5503655925247231
500,0.3,2.0,100.0,final,0.7430555555555556,0.6574074074074074,0.4409722222222222,0.25462962962962965,0.439188375909373
500,0.3,2.0,100.0,mean,0.7534722222222222,0.6712962962962963,0.6076388888888888,0.47685185185185186,0.5777745938217322
500,0.3,2.0,100.0,concat,0.8888888888888888,0.8518518518518519,0.6006944444444444,0.46759259259259256,0.5840990774319006
500,0.3,2.0,10000.0,final,0.5416666666666666,0.38888888888888884,0.5104166666666666,0.3472222222222222,0.458170357587959
500,0.3,2.0,10000.0,mean,0.6076388888888888,0.47685185185185186,0.5833333333333334,0.4444444444444444,0.5184877509052264
500,0.3,2.0,10000.0,concat,0.6180555555555556,0.4907407407407407,0.5902777777777778,0.4537037037037037,0.5371211352422371
500,0.6,0.7,1.0,final,0.8263888888888888,0.7685185185185185,0.4131944444444444,0.21759259259259256,0.4122349272349272
500,0.6,0.7,1.0,mean,0.7361111111111112,0.6481481481481481,0.6215277777777778,0.49537037037037035,0.5977825851382751
500,0.6,0.7,1.0,concat,0.9548611111111112,0.9398148148148148,0.5659722222222222,0.4212962962962963,0.5477277129182363
500,0.6,0.7,100.0,final,0.5451388888888888,0.3935185185185185,0.40625,0.20833333333333337,0.38384644692970427
500,0.6,0.7,100.0,mean,0.6527777777777778,0.537037037037037,0.59375,0.45833333333333337,0.5414010171719823
500,0.6,0.7,100.0,concat,0.7152777777777778,0.6203703703703703,0.5902777777777778,0.4537037037037037,0.5566875302055715
500,0.6,0.7,10000.0,final,0.4305555555555556,0.2407407407407407,0.4131944444444444,0.21759259259259256,0.3382574369265926
500,0.6,0.7,10000.0,mean,0.5763888888888888,0.43518518518518523,0.5729166666666666,0.4305555555555556,0.5009271307243124
500,0.6,0.7,10000.0,concat,0.5104166666666666,0.3472222222222222,0.5,0.33333333333333337,0.4412410394265233
500,0.6,0.9,1.0,final,0.8923611111111112,0.8564814814814815,0.3680555555555556,0.15740740740740744,0.3653323996265173
500,0.6,0.9,1.0,mean,0.7291666666666666,0.6388888888888888,0.6076388888888888,0.47685185185185186,0.5794861672485645
500,0.6,0.9,1.0,concat,0.9895833333333334,0.9861111111111112,0.5416666666666666,0.38888888888888884,0.509389357371329
500,0.6,0.9,100.0,final,0.5902777777777778,0.4537037037037037,0.4097222222222222,0.2129629629629629,0.4001583654832604
500,0.6,0.9,100.0,mean,0.6597222222222222,0.5462962962962963,0.5972222222222222,0.4629629629629629,0.5409299713407171
500,0.6,0.9,100.0,concat,0.7569444444444444,0.6759259259259259,0.5972222222222222,0.4629629629629629,0.569162702763561
500,0.6,0.9,10000.0,final,0.4409722222222222,0.25462962962962965,0.4340277777777778,0.24537037037037035,0.3702094474153298
500,0.6,0.9,10000.0,mean,0.5833333333333334,0.4444444444444444,0.5902777777777778,0.4537037037037037,0.5251969722985381
500,0.6,0.9,10000.0,concat,0.5173611111111112,0.3564814814814815,0.5347222222222222,0.37962962962962965,0.4708436923899243
500,0.6,1.2,1.0,final,0.9826388888888888,0.9768518518518519,0.3784722222222222,0.17129629629629628,0.3783465020865648
500,0.6,1.2,1.0,mean,0.7881944444444444,0.7175925925925926,0.6423611111111112,0.5231481481481481,0.6225998186272097
500,0.6,1.2,1.0,concat,1.0,1.0,0.5034722222222222,0.3379629629629629,0.47629683622186886
500,0.6,1.2,100.0,final,0.6388888888888888,0.5185185185185186,0.4479166666666667,0.26388888888888884,0.4429459741492263
500,0.6,1.2,100.0,mean,0.6631944444444444,0.5509259259259259,0.5833333333333334,0.4444444444444444,0.5331266765839145
500,0.6,1.2,100.0,concat,0.7986111111111112,0.7314814814814814,0.59375,0.45833333333333337,0.565720677253699
500,0.6,1.2,10000.0,final,0.4340277777777778,0.24537037037037035,0.4513888888888889,0.2685185185185185,0.3824441493612812
500,0.6,1.2,10000.0,mean,0.6006944444444444,0.46759259259259256,0.59375,0.45833333333333337,0.5327620874122982
500,0.6,1.2,10000.0,concat,0.5243055555555556,0.3657407407407407,0.5486111111111112,0.39814814814814814,0.4847380853034985
500,0.6,1.5,1.0,final,1.0,1.0,0.3472222222222222,0.12962962962962965,0.3457072156296996
500,0.6,1.5,1.0,mean,0.8333333333333334,0.7777777777777778,0.6284722222222222,0.5046296296296297,0.5999575811185718
500,0.6,1.5,1.0,concat,1.0,1.0,0.4930555555555556,0.32407407407407407,0.46702701168993305
500,0.6,1.5,100.0,final,0.7152777777777778,0.6203703703703703,0.4201388888888889,0.22685185185185186,0.4165710970378489
500,0.6,1.5,100.0,mean,0.6840277777777778,0.5787037037037037,0.59375,0.45833333333333337,0.55222022698849
500,0.6,1.5,100.0,concat,0.8611111111111112,0.8148148148148149,0.5902777777777778,0.4537037037037037,0.5697658835360291
500,0.6,1.5,10000.0,final,0.4583333333333333,0.2777777777777778,0.4444444444444444,0.2592592592592593,0.3952920967496257
500,0.6,1.5,10000.0,mean,0.5972222222222222,0.4629629629629629,0.5729166666666666,0.4305555555555556,0.5064680362247732
500,0.6,1.5,10000.0,concat,0.5416666666666666,0.38888888888888884,0.5555555555555556,0.40740740740740744,0.48672210830105556
500,0.6,2.0,1.0,final,1.0,1.0,0.3368055555555556,0.1157407407407407,0.3307128167860832
500,0.6,2.0,1.0,mean,0.8472222222222222,0.7962962962962963,0.6076388888888888,0.47685185185185186,0.5809038094589069
500,0.6,2.0,1.0,concat,1.0,1.0,0.5104166666666666,0.3472222222222222,0.5021428881749258
500,0.6,2.0,100.0,final,0.8263888888888888,0.7685185185185185,0.40625,0.20833333333333337,0.4048699763593381
500,0.6,2.0,100.0,mean,0.6979166666666666,0.5972222222222222,0.6215277777777778,0.49537037037037035,0.5824499075797162
500,0.6,2.0,100.0,concat,0.9270833333333334,0.9027777777777778,0.6076388888888888,0.47685185185185186,0.5906743091515566
500,0.6,2.0,10000.0,final,0.4791666666666667,0.3055555555555556,0.4618055555555556,0.28240740740740744,0.4054465856546319
500,0.6,2.0,10000.0,mean,0.6006944444444444,0.46759259259259256,0.5763888888888888,0.43518518518518523,0.5057716163040775
500,0.6,2.0,10000.0,concat,0.5694444444444444,0.42592592592592593,0.5520833333333334,0.4027777777777778,0.48002410718879307
500,0.9,0.7,1.0,final,0.9027777777777778,0.8703703703703703,0.3506944444444444,0.1342592592592593,0.3503732378732379
500,0.9,0.7,1.0,mean,0.7430555555555556,0.6574074074074074,0.6145833333333334,0.48611111111111116,0.5860347101475999
